country,Country_Code,Cont,Area SQKM,Pop 2022,,,,,,
Afghanistan,AFG,,653000,41128771,,,,,,
Albania,ALB,,28800,2775634,,,,,,
Algeria,DZA,AF,2380000,44903225,,,,,,
American Samoa,ASM,,200,44273,,,,,,
Andorra,AND,,470,79824,,,,,,
Angola,AGO,AF,1250000,35588987,,,,,,Certainly! Here is a list of African countries in alphabetical order:
Antigua and Barbuda,ATG,,440,93763,,,,,,
Argentina,ARG,,2780000,46234830,,,,,,
Armenia,ARM,,29700,2780469,,,,,,
Aruba,ABW,,180,106445,,,,,,
Australia,AUS,,7740000,25978935,,,,,,
Austria,AUT,,83900,9042528,,,,,,
Azerbaijan,AZE,,86600,10175016,,,,,,
Bahamas,BHS,,13900,409984,,,,,,
Bahrain,BHR,,785,1472233,,,,,,
Bangladesh,BGD,,148000,171186372,,,,,,
Barbados,BRB,,430,281635,,,,,,
Belarus,BLR,,208000,9208701,,,,,,
Belgium,BEL,,30500,11669446,,,,,,
Belize,BLZ,,23000,405272,,,,,,
Benin,BEN,AF,115000,13352864,,,,,,
Bermuda,BMU,,4290,63532,,,,,,
Bhutan,BTN,,38400,782455,,,,,,
Bolivia,BOL,,1100000,12224110,,,,,,
Bosnia and Herzegovina,BIH,,51200,3233526,,,,,,
Botswana,BWA,AF,582000,2630296,,,,,,
Brazil,BRA,,8520000,215313498,,,,,,
British Virgin Islands,VGB,,150,31305,,,,,,
Brunei,BRN,,5770,449002,,,,,,
Bulgaria,BGR,,111000,6465097,,,,,,
Burkina Faso,BFA,AF,274000,22673762,,,,,,
Burundi,BDI,AF,27800,12889576,,,,,,
Cambodia,KHM,,181000,16767842,,,,,,
Cameroon,CMR,AF,475000,27914536,,,,,,
Canada,CAN,,9880000,38929902,,,,,,
Cape Verde,CPV,AF,4030,593149,,,,,,
Cayman Islands,CYM,,264,68706,,,,,,
Central African Republic,CAF,AF,623000,5579144,,,,,,
Chad,TCD,AF,1280000,17723315,,,,,,
Chile,CHL,,757000,19603733,,,,,,
China,CHN,,9600000,1412175000,,,,,,
Colombia,COL,,1140000,51874024,,,,,,
Comoros,COM,AF,1860,836774,,,,,,
"Congo, Dem. Rep.",COD,AF,2340000,99010212,,,,,,
"Congo, Rep.",COG,AF,342000,5970424,,,,,,
Costa Rica,CRI,,51100,5180829,,,,,,
Cote d'Ivoire,CIV,AF,322000,28160542,,,,,,
Croatia,HRV,,88100,3854000,,,,,,
Cuba,CUB,,110000,11212191,,,,,,
Curacao,CUW,,444,149996,,,,,,
Cyprus,CYP,,9250,1251488,,,,,,
Czechia,CZE,,78900,10526073,,,,,,
Denmark,DNK,,42900,5903037,,,,,,
Djibouti,DJI,AF,23200,1120849,,,,,,
Dominica,DMA,,750,72737,,,,,,
Dominican Republic,DOM,,48700,11228821,,,,,,
Ecuador,ECU,,256000,18001000,,,,,,
Egypt,EGY,AF,1000000,110990103,,,,,,
El Salvador,SLV,,21000,6336392,,,,,,
Equatorial Guinea,GNQ,AF,28100,1674908,,,,,,
Eritrea,ERI,AF,122000,3684032,,,,,,
